model-1617599740,1617599742.768,0.58,0.2454,0.58,0.2351
model-1617599740,1617599742.787,0.59,0.2366,0.57,0.2387
model-1617599740,1617599742.809,0.45,0.2544,0.61,0.2466
model-1617599740,1617599742.827,0.6,0.238,0.61,0.2345
model-1617599740,1617599742.845,0.59,0.2376,0.56,0.2507
model-1617599740,1617599742.863,0.62,0.2421,0.57,0.2489
model-1617599740,1617599742.881,0.58,0.2395,0.61,0.2457
model-1617599740,1617599742.898,0.62,0.2418,0.63,0.2364
model-1617599740,1617599742.92,0.56,0.2375,0.64,0.2285
model-1617599740,1617599742.937,0.66,0.23,0.61,0.2393
model-1617599740,1617599742.956,0.56,0.2392,0.54,0.2399
model-1617599740,1617599742.974,0.57,0.2436,0.58,0.2398
model-1617599740,1617599742.993,0.51,0.2522,0.5,0.2584
model-1617599740,1617599743.011,0.6,0.2414,0.62,0.2322
model-1617599740,1617599743.033,0.62,0.2332,0.63,0.237
model-1617599740,1617599743.051,0.54,0.2431,0.68,0.2238
model-1617599740,1617599743.068,0.65,0.2413,0.41,0.2689
model-1617599740,1617599743.086,0.57,0.2476,0.53,0.2431
model-1617599740,1617599743.104,0.58,0.2471,0.65,0.2445
model-1617599740,1617599743.122,0.56,0.2371,0.53,0.2516
model-1617599740,1617599743.143,0.61,0.243,0.55,0.2491
model-1617599740,1617599743.16,0.64,0.2473,0.64,0.2275
model-1617599740,1617599743.178,0.63,0.2433,0.66,0.237
model-1617599740,1617599743.196,0.63,0.2389,0.6,0.2409
model-1617599740,1617599743.215,0.59,0.2406,0.58,0.2394
model-1617599740,1617599743.232,0.64,0.2353,0.61,0.2321
model-1617599740,1617599743.254,0.59,0.2424,0.53,0.2425
model-1617599740,1617599743.272,0.55,0.2434,0.56,0.2374
model-1617599740,1617599743.29,0.53,0.2479,0.54,0.2441
model-1617599740,1617599743.307,0.55,0.2432,0.58,0.2383
model-1617599740,1617599743.325,0.61,0.2373,0.53,0.2409
model-1617599740,1617599743.342,0.55,0.2578,0.69,0.2242
model-1617599740,1617599743.367,0.47,0.257,0.63,0.2297
model-1617599740,1617599743.384,0.61,0.2375,0.58,0.2419
model-1617599740,1617599743.402,0.61,0.2348,0.47,0.2474
model-1617599740,1617599743.421,0.58,0.2382,0.58,0.2366
model-1617599740,1617599743.442,0.52,0.2506,0.59,0.2224
model-1617599740,1617599743.461,0.6,0.2327,0.6,0.2286
model-1617599740,1617599743.483,0.62,0.2324,0.64,0.2285
model-1617599740,1617599743.501,0.7,0.2192,0.58,0.236
model-1617599740,1617599743.519,0.57,0.2352,0.47,0.2554
model-1617599740,1617599743.537,0.57,0.2491,0.49,0.266
